                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     44,                0.48282,                0.58117,                0.98281,                0.80612,                   0.95,                 0.9718,                0.80798,                 1.0848,                0.80596,                 1.1249,             2.9387e-05,             2.9387e-05,             2.9387e-05
                     45,                0.63333,                0.88447,                 1.0614,                0.74625,                0.96667,                  0.971,                0.80841,                 1.1046,                0.83283,                 1.1362,             2.9552e-05,             2.9552e-05,             2.9552e-05
                     46,                0.64328,                0.90518,                 1.1062,                0.74625,                0.96667,                  0.971,                0.80841,                 1.1046,                0.83283,                 1.1362,             2.9693e-05,             2.9693e-05,             2.9693e-05
                     47,                0.53109,                0.77873,                0.98846,                0.64273,                0.96667,                0.97102,                0.74867,                 1.1178,                0.85802,                 1.1406,             2.9811e-05,             2.9811e-05,             2.9811e-05
                     48,                0.72073,                   1.18,                 1.1324,                0.64273,                0.96667,                0.97102,                0.74867,                 1.1178,                0.85802,                 1.1406,             2.9906e-05,             2.9906e-05,             2.9906e-05
                     49,                0.47212,                0.50514,                0.99589,                  0.628,                0.98333,                0.97102,                0.74149,                 1.1455,                0.88567,                 1.1533,             2.9977e-05,             2.9977e-05,             2.9977e-05
                     50,                0.67798,                0.87876,                 1.0889,                  0.628,                0.98333,                0.97102,                0.74149,                 1.1455,                0.88567,                 1.1533,             3.0024e-05,             3.0024e-05,             3.0024e-05
                     51,                0.57352,                0.84426,                0.94554,                0.59756,                0.98333,                0.88813,                0.73363,                 1.1819,                0.91618,                 1.1718,             3.0048e-05,             3.0048e-05,             3.0048e-05
                     52,                0.74389,                0.91252,                 1.1827,                0.59756,                0.98333,                0.88813,                0.73363,                 1.1819,                0.91618,                 1.1718,             3.0048e-05,             3.0048e-05,             3.0048e-05
                     53,                0.81166,                 1.0575,                 1.2162,                0.59756,                0.98333,                0.88813,                0.73363,                 1.1819,                0.91618,                 1.1718,             3.0024e-05,             3.0024e-05,             3.0024e-05
                     54,                0.75728,                 1.0919,                 1.1423,                0.65525,                0.97409,                0.97109,                 0.7913,                 1.2103,                 0.9529,                 1.1828,             2.9977e-05,             2.9977e-05,             2.9977e-05
                     55,                0.59888,                0.76942,                  1.013,                0.65525,                0.97409,                0.97109,                 0.7913,                 1.2103,                 0.9529,                 1.1828,             2.9907e-05,             2.9907e-05,             2.9907e-05
                     56,                0.67922,                 1.1162,                 1.1415,                0.65525,                0.97409,                0.97109,                 0.7913,                 1.2103,                 0.9529,                 1.1828,             2.9812e-05,             2.9812e-05,             2.9812e-05
                     57,                0.66366,                0.84431,                 1.1472,                0.64082,                0.81667,                 0.9711,                 0.7901,                 1.2173,                 0.9817,                 1.1867,             2.9695e-05,             2.9695e-05,             2.9695e-05
                     58,                0.61609,                0.71916,                 1.0639,                0.64082,                0.81667,                 0.9711,                 0.7901,                 1.2173,                 0.9817,                 1.1867,             2.9554e-05,             2.9554e-05,             2.9554e-05
                     59,                0.56031,                0.72279,                 1.0691,                0.64082,                0.81667,                 0.9711,                 0.7901,                 1.2173,                 0.9817,                 1.1867,             2.9389e-05,             2.9389e-05,             2.9389e-05
                     60,                0.68245,                0.69313,                 1.1309,                0.62887,                    0.8,                0.96303,                 0.7364,                 1.2242,                  1.011,                 1.1901,               2.92e-05,               2.92e-05,               2.92e-05
